DSKCORPRO066501;OI344469
LAPCORPBA086420;OI327102
LAPCORPBA086421;OI342636
LAPCORPBA086445;OI021951
LAPCORPBA086448;OI023242
LAPCORPBA086456;OI022016
LAPCORPBA086464;OI327128
LAPCORPBA086485;OI326712
LAPCORPBA086486;OI403181
LAPCORPBA086506;OI327113
LAPCORPBA086520;OI326778
LAPCORPBA086550;OI022901
LAPCORPBA086551;OI402254
LAPCORPBA086563;oi399256
LAPCORPBA086568;OI22133
LAPCORPBA086570;OI023043
LAPCORPBA086606;OI023235
LAPCORPBA086679;OI331491
LAPCORPBA086692;OI326584
LAPCORPBA091788;212253
LAPCORPBA091820;OI327171
LAPCORPBA091821;OI326592
LAPCORPBA091856;OI327111
LAPCORPBA091894;OI209977
LAPCORPBA091911;OI402832
LAPCORPBA091916;OI021766
LAPCORPBA091922;OI020168
LAPCORPBA091929;OI21881
LAPCORPBA091940;OI326538
LAPCORPBA092436;oi022967
LAPCORPBA092448;OI020326
LAPCORPBA095273;OI326732
LAPCORPBA099901;OI327130
LAPCORPBA099920;OI023259
LAPCORPBA099930;OI413788
LAPCORPBA099935;OI405128
LAPCORPBA099971;OI340404
LAPCORPBA099977;OI330318
LAPCORPBA099978;OI21878
LAPCORPBA100012;OI327166
LAPCORPBA100015;OI327030
LAPCORPBA100021;OI327146
LAPCORPBA100043;OI378417
LAPCORPBA100046;OI209932
LAPCORPBA100049;OI23315
LAPCORPBA100081;OI406259
LAPCORPBA100082;OI395811
LAPCORPBA102677;OI401306
LAPCORPBA104947;OI091980
LAPCORPBA106071;OI022312
LAPCORPBA106072;OI22529
LAPCORPBA106073;OI022874
LAPCORPBA106074;OI329245
LAPCORPBA106090;OI399101
LAPCORPBA106178;OI022076
LAPCORPBA106186;OI327113
LAPCORPBA106289;OI209905
LAPCORPBA106292;OI210718
LAPCORPBA109610;OI327069
LAPCORPBA109612;OI023235
LAPCORPBA109615;OI327162
LAPCORPBA109631;OI327118
LAPCORPBA111943;OI327037
LAPCORPBA111953;OI327058
LAPCORPBA111995;OI273253
LAPCORPCE099889;OI145661
LAPCORPCE045847;MS003754
LAPCORPCE058921;OI025178
LAPCORPCE059743;OI405608
LAPCORPCE063404;OI327679
LAPCORPCE063407;OI403255
LAPCORPCE063410;OI024897
LAPCORPCE063415;OI274418
LAPCORPCE063450;OI327343
LAPCORPCE067574;OI025137
LAPCORPCE082779;OI403173
LAPCORPCE082951;OI327641
LAPCORPCE082965;OI209153
LAPCORPCE083012;OI399678
LAPCORPCE083871;OI327641
LAPCORPCE083927;OI135939
LAPCORPCE084311;OI311010
LAPCORPCE085120;OI24966
LAPCORPCE085154;OI208031
LAPCORPCE085167;oi209117
LAPCORPCE086374;OI327631
LAPCORPCE086427;OI408337
LAPCORPCE092040;OI327273
LAPCORPCE092042;OI041378
LAPCORPCE092046;OI327451
LAPCORPCE092110;OI199395
LAPCORPCE092112;OI327746
LAPCORPCE092404;OI327616
LAPCORPCE092432;OI025157
LAPCORPCE099773;OI399678
LAPCORPCE099860;OI328190
LAPCORPCE099877;oi24914
LAPCORPCE099878;OI025110
LAPCORPCE099880;OI055913
LAPCORPCE099882;OI207943
LAPCORPCE099883;OI344769
LAPCORPCE099887;OI025023
LAPCORPCE099888;OI024892
LAPCORPCE099890;oi140315
LAPCORPCE099944;OI327332
LAPCORPCE102376;OI327690
LAPCORPCE106122;OI209116
LAPCORPCE106123;OI327695
LAPCORPCE106124;OI327349
LAPCORPCE106272;OI60595
LAPCORPCE109470;OI327626
LAPCORPCE109477;OI024897
LAPCORPCE109953;OI88225
LAPCORPCE109969;OI405608
LAPCORPCE112355;OI24966
LAPCORPDF102246;BT022352
LAPCORPDF104802;OI323687
LAPCORPDF104824;BT028351
LAPCORPDF104850;BT050521
LAPCORPDF104972;OI406978
LAPCORPDF105165;OI405852
LAPCORPDF105190;BT027315-BT050615
LAPCORPDF073705;OI368119
LAPCORPDF073980;OI341720
LAPCORPDF102133;OI405850
DSKCORPDF107550;OI405863
LAPCORPDF102195;OI405913
LAPCORPDF093928;OI329605
LAPCORPDF096541;OI405900
LAPCORPDF097237;OI405853
LAPCORPDF097254;OI278200
LAPCORPDF097370;OI298795
LAPCORPDF097375;OI404937
LAPCORPDF102099;OI405865 
LAPCORPDF006248;OI329926
LAPCORPDF051891;OI393991
LAPCORPDF052307;OI330047
LAPCORPDF052440;OI299035
LAPCORPDF052550;OI304757
LAPCORPDF055824;OI405500
LAPCORPDFO60132;OI411646
LAPCORPDF060218;BT027315
LAPCORPDF063272;OI329905
LAPCORPDF063294;OI323687
LAPCORPDF063295;oi304708
LAPCORPDF065641;OI297889
LAPCORPDF067253;OI83854
LAPCORPDF069658;OI329501
LAPCORPDF069926;OI287013
LAPCORPDF073705;OI368119
LAPCORPDF079669;OI329985
LAPCORPDF082648;OI295075
LAPCORPDF082669:OI329905
LAPCORPDF082683;OI286831
LAPCORPDF082686;OI329361
LAPCORPDF082703;OI329897
LAPCORPDF082975;OI329709
LAPCORPDF083148;df069017
LAPCORPDF083342;DF069187
LAPCORPDF083354;OI292109
LAPCORPDF086725;OI299036
LAPCORPDF086747;OI304757
LAPCORPDF087180;OI395159
LAPCORPDF087237;OI323687
LAPCORPDF092391;OI329971
LAPCORPDF092427;DF070279
LAPCORPDF092711;OI404708
LAPCORPDF096692;BT051010
LAPCORPDF096722;OI329921
LAPCORPDF099861;OI292102
LAPCORPDF099919;OI329988
LAPCORPDF099959;BT029787
LAPCORPDF099962;OI329714
LAPCORPDF099966;OI287195
LAPCORPDF099973;OI299093
LAPCORPDF100007;OI330392
LAPCORPDF100009;OI394696
LAPCORPDF100038;OI329960
LAPCORPDF100103;BT032209
LAPCORPDF100103;OI299423
LAPCORPDF100678;OI405464
LAPCORPDF102123;BT050282
LAPCORPDF102141;OI405496
LAPCORPDF102144;OI314121
LAPCORPDF102164;oi306704
LAPCORPDF102178;Oi405503
LAPCORPDF102186;BT050521
LAPCORPDF102193;bt050420
LAPCORPDF102203;BT030077
LAPCORPDF106155;OI289799
LAPCORPDF106156;OI286457
LAPCORPDF106157;OI287197
LAPCORPDF106223;BT031335
LAPCORPDF106225;OI406788
LAPCORPDF106232;OI289214
LAPCORPDF106296;OI329928
LAPCORPDF106300;OI329534
LAPCORPDF108674;DF070264
LAPCORPDF111753;OI329985
LAPCORPDF111767;OI329533
LAPCORPDF111784;OI336294
LAPCORPDF111842;OI393991
LAPCORPDF112654;OI405930
LAPCORPES065409;OI15995
LAPCORPES078258;OI015736
LAPCORPES082925;OI035984
LAPCORPES082967;OI015756
LAPCORPES083089;OI331804
LAPCORPES083346;OI013144
LAPCORPES086507;OI328746
LAPCORPES092033;OI402134
LAPCORPES092057;oi328094
LAPCORPES092063;OI328698
LAPCORPES092067;OI265143
LAPCORPES092069;OI015934
LAPCORPES092175;OI328460
LAPCORPES092409;OI328605
LAPCORPES096748;OI215407
LAPCORPES099995;OI328292
LAPCORPES099997;OI328493
LAPCORPES099998;OI073881
LAPCORPES100000;OI328210
LAPCORPES100002;OI96775
LAPCORPES100050;OI328175
LAPCORPES100065;OI015827
LAPCORPES100068;OI328001
LAPCORPES100077;OI328447
LAPCORPES106059;OI14387
LAPCORPES106105;OI057408
LAPCORPES106106;OI328701
LAPCORPES108687;OI015995
LAPCORPES108689;OI328498
LAPCORPGO077617;OI402126
LAPCORPGO093021;BC686024
LAPCORPGO063272;BT024765
LAPCORPGO077595;OI329957
LAPCORPGO082693;OI395114
LAPCORPGO083080;OI329723
LAPCORPGO083119;OI343656
LAPCORPGO086369;OI329956
LAPCORPGO086501;OI329671
LAPCORPGO086634;OI329635
LAPCORPGO087157;OI329914
LAPCORPGO087170;BT024679
LAPCORPGO092148;OI294924
LAPCORPGO092151;OI329882
LAPCORPGO092299;OI330035
LAPCORPGO092829;OI341029
LAPCORPGO092854;OI293254
LAPCORPGO092926;OI329639
LAPCORPGO092927;OI329671
LAPCORPGO093069;OI330084
LAPCORPGO093083;OI330080
LAPCORPGO093084;OI414007
LAPCORPGO093089;OI017838
LAPCORPGO096486;OI292697
LAPCORPGO096571;OI402921
LAPCORPGO096714;OI329865
LAPCORPGO096912;OI332103
LAPCORPGO104812;OI402126
LAPCORPGO104898;BC684760
LAPCORPGO104961;OI273112
LAPCORPGO105008;BC708554
LAPCORPGO108516;BC753435
LAPCORPGO109491;BC684762
LAPCORPMA082933;OI272465
LAPCORPMA083157;OI339389
LAPCORPMA063459;OI209121
LAPCORPMA082807;OI403498
LAPCORPMA082965;OI413998
LAPCORPMA082989;OI272465
LAPCORPMA086399;OI274990
LAPCORPMA086712;OI271520
LAPCORPMA086717;OI327468
LAPCORPMA092047;OI309926
LAPCORPMA092055;OI327336
LAPCORPMA092108;OI027184
LAPCORPMA092401;OI209122
LAPCORPMA099948;OI327684
LAPCORPMA100004;OI027390
LAPCORPMA100053;OI027213
LAPCORPMA100055;OI209314
LAPCORPMA100057;OI403260
LAPCORPMA100058;OI403165
LAPCORPMA100060;OI327516
LAPCORPMA106123;OI412065
LAPCORPMA108420;OI209121
LAPCORPMA108421;OI404800
LAPCORPMA108444;OI327430
LAPCORPMG074858;OI187723
LAPCORPMG078024;OI014376
LAPCORPMG078290;OI329282
LAPCORPMG077838;OI328030
LAPCORPMG076901;OI328317
LAPCORPMG084185;OI328461
LAPCORPMG086296;OI343050
LAPCORPMG086401;OI342956
LAPCORPMG086404;OI165503
LAPCORPMG086405;OI327923
LAPCORPMG086489;OI328285
LAPCORPMG100469;OI328524
LAPCORPMG100441;OI414267
LAPCORPMG101159;OI274345
LAPCORPMG100402;OI329292
LAPCORPMG110808;OI409231
LAPCORPMG110926;OI328524
LAPCORPMG112457;OI180384
LAPCORPMG112482;OI332964
LAPCORPMG112522;OI306774
LAPCORPMG112524;OI328030
LAPCORPMG112525;OI406406
LAPCORPMG112575;OI61995
LAPCORPMG112619;OI194299
LAPCORPMG112658;OI99028
LAPCORPMG112663;OI410382
LAPCORPMG112708;OI414317
LAPCORPMG112752;OI407427
LAPCORPMG086437;OI392702
LAPCORPMG076874;OI327010
LAPCORPMG086668;OI403570
LAPCORPMG102034;OI269019
LAPCORPMG102035;20629919
LAPCORPMG102122;OI405374
LAPCORPMG102161;OI014639
LAPCORPMG043246;OI010252
LAPCORPMG043467;OI73946
LAPCORPMG049729;OI342393
LAPCORPMG055691;OI61913
LAPCORPMG063568;OI61948
LAPCORPMG065433;OI13258
LAPCORPMG067739;OI269005
LAPCORPMG069037;OI331783
LAPCORPMG073110;OI329299
LAPCORPMG073171;OI180384
LAPCORPMG073489;OI342436
LAPCORPMG073497;OI329282
LAPCORPMG075523;OI12534
LAPCORPMG075549;OI328096
LAPCORPMG075579;OI328598
LAPCORPMG075582;OI402893
LAPCORPMG075613;OI403570
LAPCORPMG075617;OI328666
LAPCORPMG076873;OI274345
LAPCORPMG077852;OI328169
LAPCORPMG077891;OI012873
LAPCORPMG077893;OI104270
LAPCORPMG077938;OI328127
LAPCORPMG077940;OI339123
LAPCORPMG077979;OI141947
LAPCORPMG077990;OI310638
LAPCORPMG078002;OI328432
LAPCORPMG078051;OI328510
LAPCORPMG078121;OI405515
LAPCORPMG078179;OI013383
LAPCORPMG078340;OI014376
LAPCORPMG079955;OI403601
LAPCORPMG082931;OI016642
LAPCORPMG082935;OI12867
LAPCORPMG082936;OI200263
LAPCORPMG082968;OI326071
LAPCORPMG082976;OI328117
LAPCORPMG083014;OI328004
LAPCORPMG083016;OI328296
LAPCORPMG083018;OI328465
LAPCORPMG083057;OI402242
LAPCORPMG083058;OI010784
LAPCORPMG083061;OI12898
LAPCORPMG083066;OI328320
LAPCORPMG083091;OI328533
LAPCORPMG083116;OI378424
LAPCORPMG083158;OI406926
LAPCORPMG083159;OI328106
LAPCORPMG083348;OI328706
LAPCORPMG083356;OI013050
LAPCORPMG083596;OI14792
LAPCORPMG083610;oi164880
LAPCORPMG083616;oi333940
LAPCORPMG086329;oi012770
LAPCORPMG086353;OI41463
LAPCORPMG086372;OI13594
LAPCORPMG086381;OI014731
LAPCORPMG086387;OI348402
LAPCORPMG086389;OI321484
LAPCORPMG086392;OI331415
LAPCORPMG086394;OI041939
LAPCORPMG086396;OI328008
LAPCORPMG086417;OI311777
LAPCORPMG086449;OI328489
LAPCORPMG086459;OI012798
LAPCORPMG086477;OI15184
LAPCORPMG086479;OI329305
LAPCORPMG086492;OI060590
LAPCORPMG086496;OI328483
LAPCORPMG086527;OI283679
LAPCORPMG086534;OI328250
LAPCORPMG086560;OI013602
LAPCORPMG086564;OI411731
LAPCORPMG086565;OI013149
LAPCORPMG086566;OI014399
LAPCORPMG086569;OI229539
LAPCORPMG086571;OI013050
LAPCORPMG086573;OI328334
LAPCORPMG086589;OI273379
LAPCORPMG086619;OI228776
LAPCORPMG086675;OI328647
LAPCORPMG087273;oi200857
LAPCORPMG087414;OI401550
LAPCORPMG092034;OI328688
LAPCORPMG092178;OI012693
LAPCORPMG092862;OI106732
LAPCORPMG092863;OI119364
LAPCORPMG092866;OI156431
LAPCORPMG092873;OI170509
LAPCORPMG093024;OI063089
LAPCORPMG093329;OI166157
LAPCORPMG093738;263899
LAPCORPMG094023;OI404569
LAPCORPMG096462;oi186646
LAPCORPMG096653;OI177638
LAPCORPMG096709;OI268932
LAPCORPMG096748;OI268932
LAPCORPMG097353;OI61913
LAPCORPMG100113;OI13433
LAPCORPMG100114;OI200249
LAPCORPMG100115;OI339821
LAPCORPMG100120;OI328068
LAPCORPMG100122;OI328377
LAPCORPMG100123;OI012895
LAPCORPMG100124;OI013128
LAPCORPMG100127;OI328245
LAPCORPMG100128;OI411506
LAPCORPMG100131;OI328342
LAPCORPMG100134;OI328327
LAPCORPMG100139;OI013511
LAPCORPMG100140;OI058713
LAPCORPMG100143;OI014377
LAPCORPMG100146;OI328302
LAPCORPMG100147;OI104263
LAPCORPMG100158;OI328002
LAPCORPMG100161;OI328598
LAPCORPMG100162;OI328225
LAPCORPMG100163;OI328455
LAPCORPMG100165;OI328274
LAPCORPMG100166;OI328154
LAPCORPMG100168;OI014899
LAPCORPMG100170;OI328156
LAPCORPMG100175;OI329308
LAPCORPMG100178;OI328475
LAPCORPMG100180;OI13057
LAPCORPMG100181;OI328330
LAPCORPMG100183;Oi014650
LAPCORPMG100184;OI328612
LAPCORPMG100185;OI328217
LAPCORPMG100186;OI014565
LAPCORPMG100189;OI272922
LAPCORPMG100194;OI327922
LAPCORPMG100195;OI140437
LAPCORPMG100197;OI104338
LAPCORPMG100210;OI014009
LAPCORPMG100213;OI014321
LAPCORPMG100244;OI327995
LAPCORPMG100245;OI328654
LAPCORPMG100253;OI057542
LAPCORPMG100257;OI328467
LAPCORPMG100258;OI403191
LAPCORPMG100260;OI328608
LAPCORPMG100268;OI12581
LAPCORPMG100269;OI400998
LAPCORPMG100337;OI328504
LAPCORPMG100352;OI96038
LAPCORPMG100363;OI328450
LAPCORPMG100376;OI328692
LAPCORPMG100381;OI328394
LAPCORPMG100382;oi327980
LAPCORPMG100389;OI329306
LAPCORPMG100390;OI367957
LAPCORPMG100397;OI328173
LAPCORPMG100403;OI331282
LAPCORPMG100404;OI078922
LAPCORPMG100406;OI013538
LAPCORPMG100408;OI013623
LAPCORPMG100412;OI013025
LAPCORPMG100413;OI328288
LAPCORPMG100416;OI328712
LAPCORPMG100417;OI328626
LAPCORPMG100420;OI012692
LAPCORPMG100423;OI013604
LAPCORPMG100424;OI13139
LAPCORPMG100429;oi342426
LAPCORPMG100430;OI013348
LAPCORPMG100432;OI012941
LAPCORPMG100434;OI328405
LAPCORPMG100436;OI328231
LAPCORPMG100437;OI328167
LAPCORPMG100439;OI229592
LAPCORPMG100440;OI020271
LAPCORPMG100443;OI073953
LAPCORPMG100444;OI012980
LAPCORPMG100445;OI328242
LAPCORPMG100446;OI328055
LAPCORPMG100447;OI331398
LAPCORPMG100448;OI328226
LAPCORPMG100450;OI343423
LAPCORPMG100454;OI329285
LAPCORPMG100455;OI328307
LAPCORPMG100456;OI104297
LAPCORPMG100457;OI334313
LAPCORPMG100459;OI411505
LAPCORPMG100461;OI327928
LAPCORPMG100464;OI328725
LAPCORPMG100474;OI013129
LAPCORPMG100477;OI041392
LAPCORPMG100480;OI328390
LAPCORPMG100502;OI284653
LAPCORPMG100516;OI328392
LAPCORPMG100517;OI013631
LAPCORPMG100688;OI269053
LAPCORPMG100699;OI328389
LAPCORPMG100704;OI331509
LAPCORPMG100709;OI328289
LAPCORPMG100711;OI328169
LAPCORPMG100713;OI041475
LAPCORPMG101151;OI393364
LAPCORPMG101928;OI405482
LAPCORPMG101973;OI193400
LAPCORPMG102005;OI173001
LAPCORPMG102007;OI198562
LAPCORPMG102097;oi405447
LAPCORPMG102100;oi405438
LAPCORPMG102167;OI405441
LAPCORPMG102184;OI407422
LAPCORPMG102194;oi405469
LAPCORPMG102202;oi404512
LAPCORPMG102425;OI170204
LAPCORPMG102576;OI191465
LAPCORPMG102659;OI328602
LAPCORPMG102758;OI328065
LAPCORPMG102769;OI176289
LAPCORPMG102762;OI012701
LAPCORPMG102826;OI269005
LAPCORPMG102825;oi310472
LAPCORPMG102854;OI013033
LAPCORPMG102853;OI327988
LAPCORPMG102862;OI014376
LAPCORPMG102913;OI333819
LAPCORPMG102927;OI191596
LAPCORPMG102961;oi194528
LAPCORPMG104923;OI206140
LAPCORPMG104927;OI408007
LAPCORPMG104954;OI163199
LAPCORPMG105204;OI61948
LAPCORPMG105206;OI191969
LAPCORPMG106133;OI329304
LAPCORPMG106135;OI013503
LAPCORPMG106250;oi368367
LAPCORPMG107258;OI403878
LAPCORPMG107302;OI327981
LAPCORPMG107313;OI410160
LAPCORPMG107386;OI328222
LAPCORPMG108454;OI010532
LAPCORPMG108486;OI404569
LAPCORPMG109047;OI328647
LAPCORPMG109221;OI326045
LAPCORPMG109226;OI015223
LAPCORPMG109228;OI405515
LAPCORPMG109246;OI328269
LAPCORPMG109238;OI378775
LAPCORPMG109366;OI014296
LAPCORPMG109370;OI328432
LAPCORPMG109379;OI328218
LAPCORPMG109483;OI403601
LAPCORPMG109808;OI402893
LAPCORPMG109842;OI274675
LAPCORPMG109899;OI106682
LAPCORPMG110917;OI328232
LAPCORPMS52583;OI336852
LAPCORPMS063275;OI310541
LAPCORPMS069989;OI329719
LAPCORPMS083213;OI329687
LAPCORPMS091364;oi331992
LAPCORPMS092159;OI298258
LAPCORPMS092302;OI289038
LAPCORPMS092384;OI329719
LAPCORPMS092850;OI329645
LAPCORPMS092851;OI330056
LAPCORPMS095367;OI328111
LAPCORPMS095447;CR018282
LAPCORPMS096551;BT023160
LAPCORPMS096601;OI340453
LAPCORPMS096602;OI329531
LAPCORPMS100095;OI330019
LAPCORPMT080532;OI329663
LAPCORPMT086663;OI332923
LAPCORPMT100428;OI329884
LAPCORPMT100489;OI393300
LAPCORPMT063300;OI296263
LAPCORPMT077029;MT000506
LAPCORPMT077441;OI280859
LAPCORPMT077774;OI333969
LAPCORPMT080328;OI332710
LAPCORPMT080506;OI344559
LAPCORPMT080507;OI332276
LAPCORPMT080519;OI329658
LAPCORPMT080534;OI342227
LAPCORPMT092386;OI289542
LAPCORPMT092387;OI289620
LAPCORPMT092393;OI329919
LAPCORPMT092396;OI329653
LAPCORPMT092423;OI341717
LAPCORPMT092848;OI290636
LAPCORPMT092855;oi330079
LAPCORPMT092858;OI329664
LAPCORPMT096578;OI405607
LAPCORPMT096580;OI302610
LAPCORPMT096581;OI343659
LAPCORPMT096735;OI287017
LAPCORPMT099899;OI329657
LAPCORPMT099921;OI407815
LAPCORPMT099926;OI329664
LAPCORPMT099932;OI287791
LAPCORPMT099936;OI332710
LAPCORPMT099950;OI287778
LAPCORPMT099987;OI329659
LAPCORPMT100016;OI330089
LAPCORPMT100096;OI288972
LAPCORPMT100261;OI329655
LAPCORPMT100465;OI329949
LAPCORPMT100498;OI298379
LAPCORPMT106275;OI339011
LAPCORPPA045757;OI28155
LAPCORPPA055489;OI411108
LAPCORPPA055495;OI343314
LAPCORPPA069621;OI398203
LAPCORPPA083187;OI327579
LAPCORPPA083191;OI332158
LAPCORPPA083212;OI327324
LAPCORPPA083215;OI327525
LAPCORPPA084311;OI311010
LAPCORPPA085350;OI327440
LAPCORPPA085416;OI028002
LAPCORPPA086595;OI327383
LAPCORPPA086614;OI327372
LAPCORPPA092150;OI327342
LAPCORPPA092152;OI027996
LAPCORPPA092176;oi133174
LAPCORPPA092187;OI027956
LAPCORPPA092196;OI28055
LAPCORPPA092198;OI28158
LAPCORPPA092274;OI331672
LAPCORPPA092313;OI327496
LAPCORPPA092406;OI209399
LAPCORPPA092414;OI327293
LAPCORPPA096468;OI309648
LAPCORPPA099867;OI055179
LAPCORPPA099870;OI342442
LAPCORPPA108047;OI327522
LAPCORPPA108113;OI327440
LAPCORPPA108129;OI327383
LAPCORPPA108707;OI027975
LAPCORPPA108745;OI28075
LAPCORPPA109442;OI027854
LAPCORPPA109462;OI107201
LAPCORPPA109654;OI028154
LAPCORPPA109659;OI332158
LAPCORPPA109666;OI327458
LAPCORPPA109667;OI95837
LAPCORPPA109689;OI310252
LAPCORPPA109694;OI126407
LAPCORPPA109741;OI028081
LAPCORPPA109747;OI330846
LAPCORPPA109749;OI413273
LAPCORPPA109853;OI028003
LAPCORPPA109854;OI028006
LAPCORPPA109857;OI327511
LAPCORPPA109865;OI027972
LAPCORPPA109869;OI128114
LAPCORPPA109870;OI027955
LAPCORPPA109872;OI027904
LAPCORPPA110931;OI327730
LAPCORPPA85400;OI331672
LAPCORPPB086303;OI327326
LAPCORPPB069502;OI327601
LAPCORPPB046383;OI327551
LAPCORPPB046391;OI343413
LAPCORPPB046394;OI212162
LAPCORPPB046635;OI212177
LAPCORPPB086272;OI018599
LAPCORPPB086306;OI327329
LAPCORPPB086439;OI327711
LAPCORPPB086500;OI327333
LAPCORPPB086594;OI211072
LAPCORPPB092137;OI327551
LAPCORPPB092973;oi327637
LAPCORPPB108404;OI65307
LAPCORPPB108709;OI210908
LAPCORPPB112630;OI331217
LAPCORPPB112671;OI327637 
LAPCORPPE041377;OI368605
LAPCORPPE046194;OI327289
LAPCORPPE046459;OI209423
LAPCORPPE046467;OI327636
LAPCORPPE046487;OI327492
LAPCORPPE046523;OI395587
LAPCORPPE046559;OI327643
LAPCORPPE046643;OI332131
LAPCORPPE046657;OI327279
LAPCORPPE065018;182270
LAPCORPPE065019;OI212165
LAPCORPPE065040;OI327584
LAPCORPPE082944;OI321219
LAPCORPPE083188;OI327572
LAPCORPPE083394;OI327625
LAPCORPPE083455;OI327289
LAPCORPPE083464;OI332131
LAPCORPPE086267;OI327411
LAPCORPPE086508;OI17863
LAPCORPPE087210;OI212174
LAPCORPPE092157;OI327636
LAPCORPPE092168;OI342441
LAPCORPPE096427;OI209425
LAPCORPPE102546;OI209423
LAPCORPPE102621;OI327474
LAPCORPPE102635;OI41239
LAPCORPPE102636;OI017678
LAPCORPPE102675;OI327279
LAPCORPPE108022;OI017707
LAPCORPPE108431;OI212165
LAPCORPPE108595;OI327716
LAPCORPPE109367;OI322796
LAPCORPPE109662;OI327584
LAPCORPPE109677;OI406374
LAPCORPPE109879;OI327625
LAPCORPPI046506;OI408337
LAPCORPPI056300;OI327292
LAPCORPPI058923;OI342813
LAPCORPPI082826;OI207939
LAPCORPPI082947;OI327406
LAPCORPPI083012;OI208356
LAPCORPPI083022;OI327495
LAPCORPPI086415;OI327416
LAPCORPPI086511;OI26806
LAPCORPPI086645;OI327532
LAPCORPPI092043;OI26783
LAPCORPPI092068;OI331006
LAPCORPPI092106;OI333382
LAPCORPPI092179;OI309373
LAPCORPPI092181;OI208258
LAPCORPPI092182;OI327282
LAPCORPPI092408;OI026828
LAPCORPPI092925;OI207879
LAPCORPPI095624;OI394263
LAPCORPPI099862;OI327408
LAPCORPPI099864;OI026869
LAPCORPPI099865;OI026824
LAPCORPPI099868;OI327309
LAPCORPPI099875;OI327627
LAPCORPPI099991;OI026811
LAPCORPPI099992;OI327740
LAPCORPPI099994;OI327673
LAPCORPPI099999;OI026866
LAPCORPPI100086;OI327573
LAPCORPPI100100;OI41219
LAPCORPPI106128;OI026825
LAPCORPPI108127;OI207879
LAPCORPPI108408;OI331037
LAPCORPPI108448;OI327299
LAPCORPPI108592;OI208258
LAPCORPPR106197;OI291539
LAPCORPPR063342;OI412347
LAPCORPPR065380;BT024224
LAPCORPPR082511;OI329901
LAPCORPPR082387;OI289035
LAPCORPPR082429;OI334975
LAPCORPPR082438;OI329708
LAPCORPPR082471;OI304787
LAPCORPPR082478;OI330016
LAPCORPPR082482;OI329993
LAPCORPPR083390;PR009584
LAPCORPPR086455;OI329963
LAPCORPPR087102;OI288477
LAPCORPPR098387;OI333569
LAPCORPPR098406;OI329569
LAPCORPPR099872;OI329930
LAPCORPPR100156;OI287349
LAPCORPPR100199;OI329423
LAPCORPPR100230;OI288608
LAPCORPPR100233;OI288642
LAPCORPPR100237;OI329708
LAPCORPPR100238;OI330016
LAPCORPPR100239;OI290620
LAPCORPPR100240;OI415511
LAPCORPPR100251;OI330002
LAPCORPPR100254;OI329442
LAPCORPPR100255;OI329705
LAPCORPPR100259;OI299032
LAPCORPPR100266;OI294980
LAPCORPPR100438;OI329455
LAPCORPPR100451;OI329419
LAPCORPPR100462;OI288481
LAPCORPPR100466;OI329964-OI329964
LAPCORPPR100467;OI289034
LAPCORPPR100475;OI341985
LAPCORPPR100476;OI289666
LAPCORPPR100478;OI329427
LAPCORPPR100483;OI329520
LAPCORPPR100484;OI289703
LAPCORPPR100485;OI290462
LAPCORPPR100488;OI329437
LAPCORPPR100490;OI329693
LAPCORPPR100492;OI290975
LAPCORPPR100494;OI289253
LAPCORPPR100497;OI289957
LAPCORPPR100499;OI297747
LAPCORPPR100503;OI288467
LAPCORPPR100508;OI287266
LAPCORPPR100509;OI329696
LAPCORPPR100510;OI299039
LAPCORPPR100512;OI329454
LAPCORPPR100515;OI329432
LAPCORPPR100698;OI290794
LAPCORPPR100701;OI298972
LAPCORPPR100715;OI329686
LAPCORPPR100716;OI299042
LAPCORPPR101110;OI330045
LAPCORPPR102150;OI289255
LAPCORPPR102155;OI405433
LAPCORPPR102156;OI290280
LAPCORPPR105857;OI290175
LAPCORPPR105865;OI336755
LAPCORPPR106061;OI329469
LAPCORPPR106083;OI288478
LAPCORPPR106141;OI343411
LAPCORPPR106142;oi329571
LAPCORPPR106144;OI329977
LAPCORPPR106145;OI298971
LAPCORPPR106146;OI298979
LAPCORPPR106147;OI299088
LAPCORPPR106185;OI329435
LAPCORPPR106187;OI329907
LAPCORPPR106188;pr015870
LAPCORPPR106189;OI343411
LAPCORPPR106191;OI288671
LAPCORPPR106194;OI288770
LAPCORPPR106196;OI333569
LAPCORPPR106199;OI329441
LAPCORPPR106200;OI329515
LAPCORPPR106203;OI394469
LAPCORPPR106204;OI293442
LAPCORPPR106206;OI288288
LAPCORPPR106208;OI329456
LAPCORPPR106209;OI329569
LAPCORPPR106214;OI344489
LAPCORPPR106217;OI288593
LAPCORPPR106218;OI329859
LAPCORPPR106220;OI290327
LAPCORPPR106221;OI342219
LAPCORPPR106247;OI329493
LAPCORPPR106273;OI329516
LAPCORPPR106277;OI289265
LAPCORPPR106285;OI289515
LAPCORPPR108801;BT024224
LAPCORPPR108820;OI329954
LAPCORPPR108829;CR035436
LAPCORPPR109611;OI299102
LAPCORPPR109762;BT029557
LAPCORPPR109767;BT031649
LAPCORPPR109796;OI335373
LAPCORPPR109800;OI308460
LAPCORPRJ101211;OI331102
LAPCORPRJ088183;OI356231
LAPCORPRJ088403;OI033596
LAPCORPRJ042157;15182-OI343338-OI31709-OI15182
LAPCORPRJ050026;OI311517
LAPCORPRJ053652;OI34365
LAPCORPRJ053739;OI106800
